scientific_name,season,forest_types,substrate,description
Lyophyllum decastes,серпень — жовтень.,"листяні ліси, галявини; великими групами.",,"• Шапка: 6–18 см у діаметрі; спочатку опукла, згодом плоско-розпростерта; коричнево-сіра, гола; поверхня гладенька, злегка волокниста; край рівний, тонкий, іноді хвилястий. • Пластинки: коричневі → жовтуваті; густі, прирослі. • Ніжка: 7–13 см × 1–3 см; циліндрична, білувата; щільна, волокниста; без кільця та піхви. • М’якоть: білий, щільний; на зламі не змінюється; з приємним запахом; смак м’який. • Споровий порошок: білий."
Lyophyllum connatum,серпень — жовтень.,листяні та хвойні ліси; великими групами.,,"• Шапка: 3–16 см у діаметрі; спочатку опукла, згодом плоско-розпростерта; біла, блискуча; поверхня гладенька; край рівний, тонкий. • Пластинки: білі → сірувато-кремові; густі, прирослі. • Ніжка: 4–10 см × 0,6–2 см; циліндрична, біла; щільна, волокниста; без кільця та піхви. • М’якоть: білий, щільний; на зламі не змінюється; з приємним парфумерним запахом; смак м’який. • Споровий порошок: білий."
Lyophyllum ulmarium,серпень — жовтень.,живі стовбури листяних дерев (в’яз); часто групами.,,"• Шапка: 7–25 см у діаметрі; спочатку опукла, згодом плоско-розпростерта; біла, кремова, коричнювата; поверхня гладенька; край рівний, тонкий. • Пластинки: білі; густі, прирослі. • Ніжка: 5–8 см × 2–3 см; циліндрична, білувата; щільна, волокниста; без кільця та піхви. • М’якоть: білий, жорсткуватий; на зламі не змінюється; з приємним запахом; смак м’який. • Споровий порошок: білий."
Lyophyllum loricatum,серпень — жовтень.,листяні (букові) ліси; часто групами.,,"• Шапка: 5–10 см у діаметрі; спочатку опукла, згодом плоско-розпростерта; каштаново-бура, чорнувата, зернисто-складчаста; поверхня складчаста; край рівний, тонкий. • Пластинки: брудно-білуваті; густі, прирослі. • Ніжка: 5–10 см × 0,1–0,15 см; циліндрична, світло-коричнювата; щільна, волокниста; без кільця та піхви. • М’якоть: крихкий, гіркуватий; на зламі не змінюється; без особливого запаху; смак гіркуватий. • Споровий порошок: білий."
Lyophyllum immundum,серпень — жовтень.,листяні та хвойні ліси; часто групами.,,"• Шапка: 4–8 см у діаметрі; спочатку опукла, згодом плоско-розпростерта; брудно-сіра, світло-коричнева; поверхня гладенька; край рівний, тонкий. • Пластинки: білуваті, при дотику чорніють; густі, прирослі. • Ніжка: 4–10 см × 0,6–1,2 см; циліндрична, світло-сіро-коричнева; щільна, волокниста; без кільця та піхви. • М’якоть: на повітрі чорніє; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: білий."
Pleurotus cornucopiae,травень — жовтень.,"стовбури верби, в’яза, дуба, бука; часто групами.",,"• Шапка: 4–12 см у діаметрі; увігнуто-розпростерта, лійковидна; білувата, жовтувата, світло-вохряна; поверхня гладенька; край рівний, тонкий. • Пластинки: білі, вузькі, низько спускаються на ніжку, з анастомозами; густі. • Ніжка: коротка, ексцентрична, іноді центральна; білувата; щільна, волокниста; без кільця та піхви. • М’якоть: білуватий, щільний; на зламі не змінюється; з запахом борошна; смак м’який. • Споровий порошок: рожевуватий."
Pleurotus calyptratus,травень — жовтень.,"сухі стовбури тополі, осики; часто групами.",,"• Шапка: 3–10 см у діаметрі; сидяча, бічна, м’ясиста; сірувато-коричнювата; поверхня гладенька, шовковиста, при зволоженні клейка; край рівний, тонкий. • Пластинки: кремово-білуваті, при підсиханні жовті; густі, низько спускаються. • Ніжка: дуже коротка або відсутня; білувата. • М’якоть: білуватий, щільний; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: білий."
Pleurotus eryngii,травень — жовтень.,кореневище миколайчиків польових; часто групами.,,"• Шапка: 4–7 см у діаметрі; опукло- або увігнуто-розпростерта; жовтувато-сірувата, коричнювата; поверхня гладенька; край рівний, тонкий. • Пластинки: білуваті, сіруваті; густі, прирослі. • Ніжка: центральна, ексцентрична; біла; щільна, волокниста; без кільця та піхви. • М’якоть: білий, щільний; на зламі не змінюється; з приємним запахом; смак м’який. • Споровий порошок: білий."
Lentinus tigrinus,серпень — жовтень.,"пні, стовбури тополі, верби; великими групами.",,"• Шапка: 4–10 см у діаметрі; б.-м. лійковидна; сірувато- або вохряно-біла, згодом світлішає; поверхня волокниста, вкрита темно-коричневими лусками; край рівний, тонкий. • Пластинки: білі → жовті; густі, прирослі. • Ніжка: 3–6 см × 0,3–1,8 см; ексцентрична або центральна, донизу звужена; пружна, з кільцем, що швидко зникає, дрібно-темнолуската. • М’якоть: білий, щільний; на зламі не змінюється; зі слабким приємним запахом; смак м’який. • Споровий порошок: білий."
Lentinus cyathiformis,серпень — жовтень.,"пні листяних дерев (тополя, верба); часто групами.",,"• Шапка: (5) 10–20 см у діаметрі; товсто-щільном’ясиста, плоско- або увігнуто-розпростерта, іноді асиметрична; кремова, жовтувата, світло-вохряно-червонувата; поверхня тонколуската; край рівний, тонкий. • Пластинки: кремові, вузькі, дуже низько спускаються на ніжку; густі, часто вилочковидно розгалужені. • Ніжка: до 15 см завдовжки, до 1,5 см завтовшки; центральна або ексцентрична; вгорі білобородавчаста, внизу червонуватопластівчаста; щільна. • М’якоть: білий, щільний, еластичний; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: білий."
Lentinus lepideus,червень — листопад.,"пні хвойних, оброблена деревина (шпали); часто групами.",,"• Шапка: 5–12 см у діаметрі; опукло-, плоско- або увігнуто-розпростерта; жовтувата, блідо-вохряно-кремова, кольору шкіри; поверхня крупно-коричнево-луската; край рівний, тонкий. • Пластинки: лимонно-жовтуваті, з часом брудно-жовті; густі, прирослі. • Ніжка: 4–6 см × 2 см; центральна, ексцентрична; з кільцем, що швидко зникає, луската; щільна. • М’якоть: білий, дуже щільний; на зламі не змінюється; з приємним запахом; смак м’який. • Споровий порошок: білий."
Schizophyllum commune,серпень — листопад.,"сухі стовбури, оброблена деревина; великими групами.",,"• Шапка: 2–4 см у діаметрі; сидяча, віяловидна, черепашковидна; сірувато-біла, волосисто-повстиста; поверхня повстиста; край рівний, хвилястий, з поздовжньо розщепленими пластинками. • Пластинки: віяловидні, рожевуваті, з розщепленим краєм; рідкі. • Ніжка: відсутня. • М’якоть: тонка, шкіряста; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: кремово-рожевий."
Volvariella speciosa,червень — жовтень.,"ліси, сади, степи; на ґрунті.",,"• Шапка: 10–12 см у діаметрі; спочатку яйцевидна, згодом дзвоникоподібна або плоско-розпростерта; брудно-біла, в центрі темніша; поверхня гладенька; край рівний, тонкий. • Пластинки: рожеві; густі, вільні. • Ніжка: 15–20 см × 2 см; циліндрична, біла, біля основи з білою піхвою; щільна, волокниста. • М’якоть: білий, м’який; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: рожевий."
Volvariella bombycina,червень — жовтень.,стовбури листяних і хвойних дерев; часто групами.,,"• Шапка: 10–20 см у діаметрі; спочатку яйцевидна, згодом дзвоникоподібна; біла, волокнисто-луската; поверхня волокнисто-луската; край рівний, тонкий. • Пластинки: рожеві; густі, вільні. • Ніжка: 15 см завдовжки; циліндрична, біла, з широкою піхвою; щільна, волокниста. • М’якоть: білий, м’який; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: рожевий."
Pluteus atromarginatus,травень — жовтень.,пні сосни; часто групами.,,"• Шапка: 6–8 см у діаметрі; спочатку дзвоникоподібна, згодом плоско-розпростерта; коричнева, фіолетово-коричнева, темнолуската; поверхня луската; край рівний, тонкий. • Пластинки: червонуваті, з темним краєм; густі, вільні. • Ніжка: 5–7 см × 0,7–1 см; циліндрична, кольору шапки, темно-волокнистолуската; щільна, волокниста. • М’якоть: білий, м’який; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: рожевий."
